candidate,max_regret,mean_regret,p90_regret,satisficing_frac_regret_le_0p2
cand_224,0.33757318783500745,0.04677830979613797,0.1339489576525258,0.961038961038961
cand_67,0.33824240993558086,0.04948980541422297,0.12523944493272066,0.9653679653679653
cand_130,0.34069653005910616,0.04876243278241391,0.12618582131069733,0.9653679653679653
cand_177,0.34326207768978845,0.049388131019882,0.12822038102812627,0.9653679653679653
cand_84,0.3465282088587004,0.050834226715129466,0.13080540199858393,0.9653679653679653
cand_09,0.34655036340799605,0.054837374795780394,0.1358809213117731,0.9653679653679653
cand_143,0.34763296726161097,0.05031452120573645,0.12955814328974857,0.9653679653679653
cand_208,0.34917559154197575,0.04783457896761229,0.13030044240002836,0.9523809523809523
cand_186,0.34920957003163045,0.050881101437274354,0.12964928258585384,0.961038961038961
cand_220,0.3493713672881241,0.048244655482973464,0.1303213589455503,0.9523809523809523
cand_192,0.34944607979346076,0.047548904542387055,0.13072182850610303,0.9523809523809523
cand_172,0.3498432671110364,0.04735199021249539,0.1304186767154505,0.9523809523809523
cand_148,0.3508904349723716,0.04741725308908655,0.12946021713929412,0.9523809523809523
cand_120,0.35163270818622816,0.04771123909840951,0.12961940704665753,0.9523809523809523
cand_100,0.3540540439907073,0.05244413805914094,0.13660707532892347,0.9653679653679653
cand_155,0.35442456456889626,0.052005307522598784,0.13495915556170324,0.9653679653679653
cand_88,0.3548706088420539,0.04890351413203044,0.13143151295218447,0.9523809523809523
cand_29,0.35558592310830206,0.05568109490330213,0.141934379406224,0.9653679653679653
cand_52,0.35940147326219896,0.05128368476642682,0.13445310194837234,0.9567099567099567
cand_166,0.36017361309211404,0.05356101375086664,0.13954352490768673,0.961038961038961
cand_115,0.36084738732873645,0.05403863582469072,0.14183765645954127,0.9567099567099567
cand_215,0.3615632730147461,0.050106117295164884,0.13717709629220787,0.9523809523809523
cand_201,0.36287956344703554,0.050009118177414366,0.13769729803249253,0.9523809523809523
cand_48,0.3640999353396165,0.05701702411455962,0.14012403302434995,0.9567099567099567
cand_183,0.36464154628279666,0.05007048014491353,0.13849400711031568,0.9523809523809523
cand_176,0.36563416723831954,0.05514237667446978,0.14396451991742698,0.9567099567099567
cand_161,0.3672301526067473,0.05041800564516204,0.13981612333648052,0.9523809523809523
cand_129,0.3673023903146496,0.05573236598403023,0.14154227784102458,0.9567099567099567
cand_12,0.3687287858260394,0.056727429643169985,0.14269548823349854,0.9523809523809523
cand_135,0.3706805102593911,0.05116085785243128,0.1416917152252254,0.9523809523809523
cand_66,0.3720232625706513,0.05862694645076394,0.13972174454747577,0.9523809523809523
cand_142,0.3732408039458166,0.05742857772538014,0.1401975927169038,0.9523809523809523
cand_209,0.3751246340369949,0.05256869780290079,0.14554485512162074,0.9523809523809523
cand_105,0.37512918373877524,0.05252080302203173,0.14400894148519672,0.9523809523809523
cand_193,0.378002539354347,0.052899223389571357,0.14564170909847785,0.948051948051948
cand_154,0.3795851779508791,0.05938151383396135,0.1437033303007138,0.948051948051948
cand_83,0.3808332496969996,0.060926801278371974,0.1464761133722019,0.948051948051948
cand_173,0.38182508369778045,0.05354725929725452,0.14764972765147522,0.948051948051948
cand_71,0.38319760028589134,0.05544377311758301,0.14422858810778383,0.948051948051948
cand_165,0.3864578445710831,0.061623283608977744,0.14887203253479186,0.948051948051948
cand_149,0.3867264741832801,0.05463545242828062,0.14705059242252683,0.9437229437229437
cand_99,0.3893053138690473,0.06332886647612804,0.15305487366660075,0.9437229437229437
cand_202,0.39005237232177914,0.05573624147126146,0.14952704966125696,0.9437229437229437
cand_121,0.39301535759302764,0.05639256564608634,0.14761778975249618,0.9437229437229437
cand_184,0.3948920854785184,0.05669648296257225,0.1493649451093071,0.9437229437229437
cand_33,0.3963315452013002,0.06122571362887984,0.15283442381905965,0.9437229437229437
cand_114,0.39681579758641305,0.06563066009823827,0.15898881663378606,0.9393939393939394
cand_08,0.3973266150720871,0.07058716648478494,0.1629337997502791,0.9393939393939394
cand_162,0.40102059029046266,0.058153023202827184,0.15287481657445245,0.9393939393939394
cand_89,0.40319341341249826,0.05980962023936892,0.15559057902631312,0.935064935064935
cand_128,0.40404448704210816,0.06800675292083506,0.16298699403749461,0.935064935064935
cand_28,0.406008130397709,0.07223944483736765,0.16883888408668168,0.9307359307359307
cand_194,0.40653822805387996,0.059768566140639426,0.15666923426855284,0.935064935064935
cand_136,0.40807366189205274,0.06021393392117267,0.15829641867366262,0.935064935064935
cand_141,0.41071109622484225,0.07031436471401772,0.16812302620096098,0.9307359307359307
cand_174,0.41365990773008676,0.061584835887212176,0.16191808922626194,0.9307359307359307
cand_47,0.41504825179510385,0.07453656451097343,0.1753080680174286,0.9264069264069265
cand_153,0.4168662444517667,0.07254075636049857,0.17302165156868587,0.9264069264069265
cand_53,0.4189833590215022,0.06613129015921992,0.16839667237636802,0.9264069264069265
cand_106,0.420703728351415,0.06430521264427647,0.16708768754952574,0.9264069264069265
cand_65,0.4223638290031583,0.0765298045313639,0.18046721132363908,0.9264069264069265
cand_150,0.4228679094594934,0.06428748901105284,0.1670932637764908,0.9264069264069265
cand_185,0.42494360110361873,0.06489765909224267,0.1677938458084428,0.9264069264069265
cand_82,0.42887860902261354,0.07858628483041614,0.18515270289424723,0.9134199134199135
cand_163,0.4348399131843058,0.06791625838154428,0.17652162464554477,0.9177489177489178
cand_122,0.434852915936048,0.0682645008923502,0.1778313681259439,0.9177489177489178
cand_98,0.4357731102965584,0.08087329283207001,0.19015928407801141,0.9134199134199135
cand_72,0.437329358021742,0.07079258786304775,0.1813169613536375,0.9177489177489178
cand_113,0.4414779726748329,0.08286857589571611,0.19434460733558034,0.9090909090909091
cand_175,0.44527981653782767,0.07129805874686215,0.18489588636135468,0.9134199134199135
cand_13,0.44700636236975155,0.07907698276172569,0.19159431729220155,0.9090909090909091
cand_127,0.4470784266499582,0.08496161250498802,0.1984970719378225,0.9047619047619048
cand_137,0.44760727449837856,0.0723428593609572,0.18755728452823273,0.9134199134199135
cand_140,0.45224766276879247,0.08697524960649798,0.20236096415842708,0.8917748917748918
cand_90,0.45290479336755607,0.07532734895273473,0.19257123633572704,0.9090909090909091
cand_151,0.4588994416906189,0.07610802339065896,0.19595101368185797,0.9090909090909091
cand_07,0.46101411150267557,0.09600231321859297,0.2124534656153011,0.8787878787878788
cand_34,0.4658895581573258,0.08382578443639485,0.20407909206285935,0.8961038961038961
cand_107,0.46598522064043657,0.07950602095905927,0.20219794223524135,0.8961038961038961
cand_27,0.46665925600170965,0.0971016931205982,0.2158894686453363,0.8787878787878788
cand_164,0.4684699923311987,0.07950284867709391,0.20317227600248167,0.8961038961038961
cand_46,0.47231072807275565,0.09857094952110601,0.2198514751340136,0.8744588744588745
cand_123,0.476934180054736,0.08318920255839918,0.21030811598861987,0.8961038961038961
cand_64,0.4770460704021917,0.0998850489496379,0.22319185761026683,0.8658008658008658
cand_54,0.48085159332034,0.08790854609122954,0.21414079481167614,0.8831168831168831
cand_81,0.4810900011176853,0.10120419063264126,0.22615298659838834,0.8571428571428571
cand_97,0.4858438995597024,0.1028462120549853,0.2296663930115117,0.8571428571428571
cand_138,0.48640242645837684,0.08670905539705656,0.2175401024983804,0.8787878787878788
cand_112,0.48990788271009544,0.10437756057866554,0.23273675310548403,0.8528138528138528
cand_73,0.4931265170800653,0.09168045099132216,0.22254117574941235,0.8744588744588745
cand_126,0.4936484708066935,0.10585908488047178,0.23559413045071087,0.8441558441558441
cand_152,0.49469083172560036,0.08990834389281689,0.22391550012418948,0.8787878787878788
cand_91,0.5032405581169803,0.09506786226895585,0.22956532203196012,0.8658008658008658
cand_108,0.5119821965581945,0.09824392040005445,0.23571140373308663,0.8614718614718615
cand_124,0.5190151670976937,0.10091861774635186,0.24071483281341477,0.8571428571428571
cand_139,0.5248121258431875,0.10317712329317848,0.24490043633497283,0.8528138528138528
cand_06,0.5295429099989157,0.12868047130081162,0.2692942715142497,0.7575757575757576
cand_26,0.531823007183463,0.1284297178896963,0.27036713563662307,0.7532467532467533
cand_14,0.5332520613404321,0.11468971198468478,0.2557864467903038,0.8311688311688312
cand_45,0.5338034969914306,0.12835773702859743,0.27136036019674215,0.7575757575757576
cand_63,0.5368281002916989,0.12904022586440214,0.2733531273557368,0.7575757575757576
cand_80,0.5376985648169718,0.12895521598082924,0.2737219042559086,0.7619047619047619
cand_96,0.5404209339486987,0.12976458863421025,0.2756001623248622,0.7575757575757576
cand_35,0.5404497287985386,0.11660124956790556,0.26073152156743473,0.8138528138528138
cand_111,0.5422077398260154,0.13029055888684188,0.2768059757646032,0.7575757575757576
cand_55,0.5457902967032139,0.11716814396717852,0.2634871867011608,0.8138528138528138
cand_74,0.5508480911034084,0.11827922244091124,0.2665527858829473,0.8138528138528138
cand_92,0.5542016280271365,0.11891469330704903,0.26838143732540587,0.8138528138528138
cand_109,0.5578969504950471,0.12006395616182108,0.27082799988280704,0.8051948051948052
cand_125,0.5608388169375242,0.12103617817419224,0.27277375426597816,0.8051948051948052
cand_95,0.5985094218273502,0.16116846669602167,0.32753314322154337,0.6277056277056277
cand_79,0.600132368846604,0.16267736461504187,0.330449695426729,0.6277056277056277
cand_62,0.6006320851580915,0.16353825500743535,0.3320856827477917,0.6233766233766234
