design_id,design_label,w_cost,w_gwp,w_profit,b,c,r_cruise,r_hover,V_cruise,V_climb,c_charge,TOC_flight,GWP_flight,GWP_annual_ops,Annual_Profit,FoM_cost_rating,FoM_co2_rating,FoM_time_rating,Cost_Rating_Norm,GWP_Rating_Norm,Profit_Rating_Norm,Profit_Utility,Utility,Utility_Norm_star_at_design_scenario,AR,CL_cruise,CL_climb,Gamma_deg
10,scenario_10,0.2,0.8,0.0,11.626249999999995,1.1626250000000002,1.0791009980710533,1.6868750000000001,55.431707619189694,52.457816959202574,1.4352981807442666,109.78135490889214,23.108937892582688,74874.24521824635,865777.3653846353,-0.2046116584189262,0.42273647355692867,1.5289410912718837,0.7617487887120854,0.9383288774541699,0.346285990773776,0.17520767227085432,0.2972668471617577,0.9030128597057531,9.999999999999995,0.7000000270027018,0.7786429776706294,5.0
11,scenario_11,0.4,0.0,0.6,10.311980206681778,1.0311980206681757,0.9160078839782891,1.4678300344469621,66.27534732301008,52.45781695920258,3.394317421611964,105.88331907747943,37.47467726927599,179942.03438153627,1301781.6600034898,-0.1601344103941097,0.037195789589729904,1.580088584346375,0.8914325944015096,0.5477559930269814,0.8727667263437447,0.7223460389492294,0.3693538592118938,0.8802330735668507,10.00000000000002,0.6652904698705839,1.0578866249683185,4.999999999999999
12,scenario_12,0.4,0.2,0.39999999999999997,10.211235816041825,1.0211235816041822,0.9371354760001085,1.4510393026736372,64.65823604016455,52.45781695920259,2.77622823672832,103.23123780234307,32.72549723888185,146485.80795986127,1225407.3985646006,-0.12987371455708316,0.16465195938298832,1.5735493999256274,0.9796647214604076,0.6768757615607471,0.7805438335024946,0.6265045778084153,0.2315827371771305,0.8394585742973103,10.000000000000004,0.7000000008780519,1.0594233591680147,4.999999999999998
13,scenario_13,0.4,0.4,0.19999999999999996,10.640209115643433,1.0640209115643435,0.9584266207168152,1.5225348526072389,61.365364884995834,52.457816959202596,2.2606896696435035,102.87361996667275,28.566216215497548,116358.12818470888,1116560.2528905699,-0.12579323457610683,0.27627670827471446,1.559168465444461,0.9915623139705655,0.7899574724180412,0.6491095196059976,0.48991314915344397,0.1581760193101318,0.8424298184766422,9.999999999999998,0.7000003025898874,0.9542642826254856,4.999999999999997
14,scenario_14,0.4,0.6000000000000001,-1.1102230246251565e-16,11.112501675734059,1.1112501675734063,0.9839450134669518,1.60125027928901,58.26458324198336,52.45781695920259,1.823638364235466,104.88875364296922,25.499817825963326,93476.86410599365,997472.1527860557,-0.14878625059754147,0.35857120780705004,1.5441404109181305,0.9245208050113375,0.8733261061095526,0.5053091228794847,0.34047042717527143,0.15562822444521346,0.8938039856702665,9.999999999999996,0.7000000778074674,0.8602628652631624,4.999999999999998
15,scenario_15,0.6000000000000001,0.0,0.3999999999999999,10.207070620469278,1.0207070620469272,0.8801773083712924,1.4503451034115455,64.66016831684377,52.45781695920258,2.916880154143048,103.52033624223756,33.68481256860522,152862.44168214497,1241020.5984596065,-0.13317237664509027,0.13890632397477454,1.5735574087389792,0.9700467016355859,0.6507940858752511,0.7993969711132364,0.6460974597928559,0.17853555793008813,0.9017868094266461,10.000000000000005,0.7000000000268988,1.0594866794228028,4.999999999999999
16,scenario_16,0.6000000000000001,0.2,0.1999999999999999,10.39178075629284,1.0391780756292832,0.9014882242029079,1.4811301260488068,63.178383919684656,52.45781695920257,2.440264524170435,102.66260558507389,30.360946654238553,128923.7701512005,1164903.7229980594,-0.12338552479787897,0.2281106109548959,1.5672719176189145,0.9985825542260335,0.7411626957728799,0.707484875115845,0.5505789902945253,0.08170660537115679,0.8888790467133652,10.000000000000009,0.7000002180485888,1.01148395904249,5.0
17,scenario_17,0.6000000000000001,0.4,-1.1102230246251565e-16,10.77877107241118,1.0778771072411177,0.9199887718585282,1.5456285120685298,60.37221464040975,52.45781695920258,2.062583584052258,103.29184114330226,27.37054547409989,107049.63227199022,1070475.6098529433,-0.13056520892592724,0.3083655345683268,1.5545231622132432,0.9776485081075833,0.8224651323475066,0.5934617265352001,0.4320818923705147,0.045007088471774336,0.9155751578035526,10.000000000000002,0.7000003228222472,0.9236262224371369,4.999999999999999
18,scenario_18,0.8,0.0,0.19999999999999996,10.227354895200827,1.022735489520084,0.8603121684012702,1.4537258158668043,64.48649443033533,52.45781695920253,2.568576050019013,102.8201251514584,31.788477873521817,138798.66680417696,1197122.1414120258,-0.12518284968811902,0.1897992266094506,1.572835655956743,0.9933420336862601,0.7023512589713817,0.7463890254529746,0.5910096306472494,0.01805564637895464,0.943951432039603,9.999999999999988,0.7000006382326474,1.0538038302150365,5.000000000000004
19,scenario_19,0.8,0.2,-5.551115123125783e-17,10.559555122005108,1.05595551220051,0.8772925636714133,1.509092520334183,61.90123667418621,52.457816959202596,2.2317379780863122,102.7447953929748,28.871027228807563,117676.9027068545,1117818.2666796872,-0.12432332440496872,0.2680963394492201,1.5616130090637705,0.9958481804186975,0.7816703307992245,0.6506285872693808,0.49149182078198433,-0.04583939163413098,0.9530126104948029,10.000000000000007,0.7000003134453658,0.9710032527684961,4.999999999999997
